 Grid number ; Pieces posed (over 256) ; Sides connected (over 480)
1 ;   5 ;   5.0
2 ;  14 ;  20.0
3 ;  18 ;  27.0
4 ;  21 ;  32.0
5 ;  23 ;  36.0
6 ;  24 ;  38.0
7 ;  34 ;  56.0
8 ;  44 ;  74.0
9 ;  45 ;  76.0
10 ;  47 ;  80.0
11 ;  51 ;  87.0
12 ;  52 ;  89.0
13 ;  55 ;  95.0
14 ;  61 ; 106.0
15 ;  73 ; 128.0
16 ;  75 ; 132.0
17 ;  83 ; 147.0
18 ;  84 ; 149.0
19 ;  87 ; 155.0
20 ;  93 ; 166.0
21 ;  99 ; 178.0
22 ; 106 ; 191.0
23 ;  10 ;  13.0
24 ;  17 ;  25.0
25 ;  37 ;  61.0
26 ;  54 ;  93.0
27 ;  55 ;  95.0
28 ;  57 ;  98.0
29 ;  58 ; 100.0
30 ;  66 ; 115.0
31 ;  68 ; 119.0
32 ;  70 ; 123.0
33 ;  11 ;  15.0
34 ;  23 ;  36.0
35 ;  28 ;  45.0
36 ;  32 ;  52.0
37 ;  38 ;  63.0
38 ;  55 ;  95.0
39 ;  57 ;  98.0
40 ;  65 ; 113.0
41 ;  82 ; 145.0
42 ;  83 ; 147.0
43 ;  23 ;  36.0
44 ;  33 ;  54.0
45 ;  35 ;  58.0
46 ;  47 ;  80.0
47 ;  48 ;  82.0
48 ;  57 ;  98.0
49 ;  60 ; 104.0
50 ;  63 ; 110.0
51 ;  73 ; 128.0
52 ;  11 ;  15.0
53 ;  14 ;  20.0
54 ;  34 ;  56.0
55 ;  35 ;  58.0
56 ;  50 ;  85.0
57 ;  68 ; 119.0
58 ;  28 ;  45.0
59 ;  31 ;  50.0
60 ;  48 ;  82.0
61 ;  50 ;  85.0
62 ;  59 ; 102.0
63 ;  63 ; 110.0
